event_date,location_description,latitude,longitude,landslide_category,landslide_size,landslide_trigger,fatality_count,injury_count
2008-08-01 00:00:00,"Sigou Village, Loufan County, Shanxi Province",32.5625,107.45,landslide,large,rain,11,0
2009-01-02 02:00:00,"Lake Oswego, Oregon",45.42,-122.663,mudslide,small,downpour,0,0
2007-01-19 00:00:00,"San Ramon district, 195 miles northeast of the capital, Lima, ",-11.1295,-75.3587,landslide,large,downpour,10,0
2009-07-31 00:00:00,Dailekh district,28.8378,81.708,landslide,medium,monsoon,1,0
2010-10-16 12:00:00,sitio Bakilid in barangay Lahug,10.3336,123.8978,landslide,medium,tropical_cyclone,0,0
2012-02-16 00:00:00,"Paguite, Abuyog, Leyte",10.7004,124.9668,landslide,medium,downpour,0,0
2012-03-30 00:00:00,"Pend Oreille County, State Route 20 near Usk, OR",48.2797,-117.2665,mudslide,small,downpour,0,0
2007-09-05 00:00:00,"Warm Springs Road, Idaho",43.6846,-114.4194,mudslide,medium,rain,0,0
2009-01-01 22:24:00,South side of Highway 26 between Cherryville Hill and Brightwood. Oregon,45.377,-122.0704,mudslide,small,rain,0,0
2017-07-03 14:33:00,"Huyện Mèo Vạc, Hà Giang",23.14383048,105.5299971,landslide,small,downpour,0,0
2009-01-02 20:30:00,"Gadgaron village of Matnog town, Sorsogon ",12.5655,124.0419,landslide,medium,downpour,0,1
2009-01-03 00:00:00,"Suburban Portland, Oregon.",45.521,-122.67,mudslide,small,rain,0,0
2009-01-07 01:41:00,"Wildcat Run Road off Dogwood Drive in Maggie Valley, North Carolina ",35.507,-83.071,landslide,small,rain,0,0
2009-01-07 00:00:00,"Rochester along the Cowlitz and Lewis rivers, Washington",46.11,-122.893,landslide,small,rain,0,0
2009-01-07 00:00:00,"Sixth Place South in Normandy Park , Washington",47.432,-122.334,mudslide,small,rain,0,0
2009-01-07 00:00:00,"Concrete, 70 miles northeast of Seattle,Washington",48.538,-121.75,landslide,medium,downpour,0,0
2009-01-07 00:00:00,"Acme area, Whatcom County, Washington",48.72,-122.2,mudslide,small,rain,0,0
2009-01-08 00:00:00,"Burcham Street, Kelso,Washington",46.1299,-122.909,mudslide,small,unknown,0,0
2009-01-08 06:00:00,"Mount Baker Highway at about milepost 16, Washington",48.929,-122.037,mudslide,small,rain,0,0
2009-01-13 00:00:00,"Chehna in Jijel province, some 360 km (225 miles) from the capital Algiers",36.7946,5.765,landslide,medium,downpour,6,0
